==================================================
РЕЗУЛЬТАТЫ ВЫЧИСЛИТЕЛЬНОГО ЭКСПЕРИМЕНТА
==================================================

1. СРАВНЕНИЕ МОДЕЛЕЙ ПО NDCG@3
--------------------------------------------------
             Модель  NDCG@3
      Decision Tree  0.7179
      Random Forest  0.7155
      Random Forest  0.7098
      Decision Tree  0.7064
      Random Forest  0.6983
      Decision Tree  0.6970
            XGBoost  0.6898
      Random Forest  0.6868
      Decision Tree  0.6855
Logistic Regression  0.6849
            XGBoost  0.6840
            XGBoost  0.6783
Logistic Regression  0.6776
      Random Forest  0.6753
      Decision Tree  0.6740
      Random Forest  0.6695
            XGBoost  0.6668
Logistic Regression  0.6661
      Decision Tree  0.6626
      Random Forest  0.6623
  Gradient Boosting  0.6619
Logistic Regression  0.6589
      Decision Tree  0.6568
      Random Forest  0.6565
            XGBoost  0.6553
  Gradient Boosting  0.6546
      Decision Tree  0.6511
      Random Forest  0.6508
            XGBoost  0.6496
  Gradient Boosting  0.6474
Logistic Regression  0.6474
            XGBoost  0.6438
      Decision Tree  0.6396
      Random Forest  0.6393
            XGBoost  0.6381
Logistic Regression  0.6359
  Gradient Boosting  0.6359
      Random Forest  0.6335
      Decision Tree  0.6323
            XGBoost  0.6323
Logistic Regression  0.6301
      Random Forest  0.6278
      Decision Tree  0.6251
            XGBoost  0.6251
  Gradient Boosting  0.6244
Logistic Regression  0.6229
      Random Forest  0.6205
            XGBoost  0.6193
      Decision Tree  0.6178
  Gradient Boosting  0.6171
Logistic Regression  0.6156
            XGBoost  0.6136
      Random Forest  0.6133
  Gradient Boosting  0.6114
Logistic Regression  0.6099
      Decision Tree  0.6063
      Random Forest  0.6060
Logistic Regression  0.6041
  Gradient Boosting  0.6041
            XGBoost  0.6021
      Random Forest  0.6003
      Decision Tree  0.5998
  Gradient Boosting  0.5984
Logistic Regression  0.5969
            XGBoost  0.5963
      Decision Tree  0.5941
  Gradient Boosting  0.5911
            XGBoost  0.5906
Logistic Regression  0.5896
      Random Forest  0.5888
      Decision Tree  0.5883
  Gradient Boosting  0.5839
Logistic Regression  0.5839
            XGBoost  0.5833
      Random Forest  0.5816
Logistic Regression  0.5781
      Decision Tree  0.5768
  Gradient Boosting  0.5766
      Random Forest  0.5758
            XGBoost  0.5718
      Decision Tree  0.5703
      Random Forest  0.5701
Logistic Regression  0.5666
  Gradient Boosting  0.5651
            XGBoost  0.5646
      Decision Tree  0.5646
  Gradient Boosting  0.5594
            XGBoost  0.5588
      Random Forest  0.5586
      Decision Tree  0.5573
Logistic Regression  0.5551
  Gradient Boosting  0.5536
            XGBoost  0.5531
Logistic Regression  0.5494
  Gradient Boosting  0.5479
      Random Forest  0.5471
            XGBoost  0.5458
      Decision Tree  0.5458
Logistic Regression  0.5436
      Decision Tree  0.5401
            XGBoost  0.5386
Logistic Regression  0.5379
  Gradient Boosting  0.5364
      Random Forest  0.5356
      Decision Tree  0.5328
Logistic Regression  0.5306
  Gradient Boosting  0.5291
            XGBoost  0.5271
Logistic Regression  0.5249
      Random Forest  0.5241
      Decision Tree  0.5235
  Gradient Boosting  0.5234
Logistic Regression  0.5191
      Decision Tree  0.5177
  Gradient Boosting  0.5176
      Random Forest  0.5168
            XGBoost  0.5156
      Decision Tree  0.5120
  Gradient Boosting  0.5119
Logistic Regression  0.5119
      Random Forest  0.5111
            XGBoost  0.5083
  Gradient Boosting  0.5062
            XGBoost  0.5026
      Decision Tree  0.5026
Logistic Regression  0.5004
      Random Forest  0.4996
  Gradient Boosting  0.4989
            XGBoost  0.4953
Logistic Regression  0.4947
      Decision Tree  0.4911
      Random Forest  0.4881
  Gradient Boosting  0.4874
            XGBoost  0.4838
Logistic Regression  0.4832
      Random Forest  0.4808
  Gradient Boosting  0.4802
      Decision Tree  0.4796
            XGBoost  0.4766
Logistic Regression  0.4759
  Gradient Boosting  0.4744
      Decision Tree  0.4724
      Random Forest  0.4693
  Gradient Boosting  0.4672
      Decision Tree  0.4666
            XGBoost  0.4651
Logistic Regression  0.4644
      Random Forest  0.4636
      Decision Tree  0.4609
      Random Forest  0.4579
  Gradient Boosting  0.4557
      Decision Tree  0.4536
            XGBoost  0.4536
Logistic Regression  0.4529
            XGBoost  0.4479
Logistic Regression  0.4472
      Random Forest  0.4464
  Gradient Boosting  0.4442
      Decision Tree  0.4442
      Random Forest  0.4406
Logistic Regression  0.4399
  Gradient Boosting  0.4369
            XGBoost  0.4364
      Decision Tree  0.4327
  Gradient Boosting  0.4297
      Random Forest  0.4291
            XGBoost  0.4291
Logistic Regression  0.4284
      Decision Tree  0.4255
  Gradient Boosting  0.4239
      Random Forest  0.4219
Logistic Regression  0.4212
            XGBoost  0.4176
      Random Forest  0.4161
      Decision Tree  0.4140
Logistic Regression  0.4139
  Gradient Boosting  0.4124
            XGBoost  0.4119
      Random Forest  0.4104
      Decision Tree  0.4075
  Gradient Boosting  0.4067
Logistic Regression  0.4067
            XGBoost  0.4061
      Random Forest  0.4031
Logistic Regression  0.3994
            XGBoost  0.3989
      Decision Tree  0.3981
      Random Forest  0.3974
  Gradient Boosting  0.3952
Logistic Regression  0.3937
            XGBoost  0.3916
      Decision Tree  0.3909
      Random Forest  0.3901
  Gradient Boosting  0.3879
Logistic Regression  0.3864
            XGBoost  0.3859
      Decision Tree  0.3851
      Random Forest  0.3844
  Gradient Boosting  0.3822
            XGBoost  0.3801
      Random Forest  0.3786
  Gradient Boosting  0.3749
Logistic Regression  0.3749
            XGBoost  0.3744
      Decision Tree  0.3736
      Random Forest  0.3729
            XGBoost  0.3686
  Gradient Boosting  0.3677
Logistic Regression  0.3677
      Decision Tree  0.3664
            XGBoost  0.3629
  Gradient Boosting  0.3619
Logistic Regression  0.3619
      Random Forest  0.3614
      Decision Tree  0.3606
            XGBoost  0.3571
  Gradient Boosting  0.3562
      Random Forest  0.3556
      Decision Tree  0.3549
Logistic Regression  0.3547
      Decision Tree  0.3491
  Gradient Boosting  0.3489
Logistic Regression  0.3489
            XGBoost  0.3456
      Random Forest  0.3441
      Decision Tree  0.3419
  Gradient Boosting  0.3417
Logistic Regression  0.3417
      Random Forest  0.3384
  Gradient Boosting  0.3359
Logistic Regression  0.3344
            XGBoost  0.3342
      Random Forest  0.3326
      Decision Tree  0.3325
  Gradient Boosting  0.3302
            XGBoost  0.3284
Logistic Regression  0.3272
      Decision Tree  0.3268
            XGBoost  0.3227
      Random Forest  0.3212
  Gradient Boosting  0.3187
Logistic Regression  0.3157
            XGBoost  0.3154
      Random Forest  0.3154
      Decision Tree  0.3153
  Gradient Boosting  0.3114
Logistic Regression  0.3099
      Random Forest  0.3097
      Decision Tree  0.3095
            XGBoost  0.3082
  Gradient Boosting  0.3042
Logistic Regression  0.3027
            XGBoost  0.3024
      Random Forest  0.3024
  Gradient Boosting  0.2984
      Decision Tree  0.2980
Logistic Regression  0.2969
